Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,95.05B,15.720538,6.6415358,2.97,274.414,,,,,,,,,,,
BR,"Broadridge Financial Solutions, Inc.",25.88B,28.31673,23.713367,7.83,132.063,,,,,,,,,,,
BRO,"Brown & Brown, Inc.",26.82B,23.800001,19.202934,3.3,64.746,,,,,,,,,,,
BSX,Boston Scientific Corporation,148.27B,53.48663,35.84946,1.87,50.973,,,,,,,,,,,
BX,Blackstone Inc.,179.55B,42.057636,25.03259,3.47,60.337,,,,,,,,,,,
BXP,"BXP, Inc.",12.80B,,38.695187,-1.28,231.032,,,,,,,,,,,
C,Citigroup Inc.,180.34B,14.155899,14.018081,7.12,,,,,,,,,,,,
CAG,"Conagra Brands, Inc.",8.20B,9.683616,6.371747,1.77,92.867,,,,,,,,,,,
CAH,"Cardinal Health, Inc.",48.39B,30.673193,23.572916,6.64,,,,,,,,,,,,
CARR,Carrier Global Corporation,48.44B,35.94375,18.917763,1.6,83.159,,,,,,,,,,,
CAT,Caterpillar Inc.,263.80B,28.90657,25.422121,19.48,201.046,,,,,,,,,,,
CB,Chubb Limited,113.17B,12.02132,12.17916,23.92,30.958,,,,,,,,,,,
CBOE,"Cboe Global Markets, Inc.",26.85B,27.623251,27.954247,9.29,32.645,,,,,,,,,,,
CBRE,"CBRE Group, Inc.",45.43B,42.87921,25.441666,3.56,104.121,,,,,,,,,,,
CCI,Crown Castle Inc.,38.99B,,33.410446,-9.05,,,,,,,,,,,,
CCL,Carnival Corporation & plc,35.10B,13.77835,15.540697,1.94,233.568,,,,,,,,,,,
CDNS,"Cadence Design Systems, Inc.",88.48B,83.99225,47.452553,3.87,47.685,,,,,,,,,,,
CDW,CDW Corporation,18.55B,18.00885,14.076087,7.91,239.737,,,,,,,,,,,
CEG,Constellation Energy Corporation,111.96B,41.005722,40.04358,8.74,60.212,,,,,,,,,,,
CF,"CF Industries Holdings, Inc.",12.79B,9.918983,13.273463,8.27,44.133,,,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",22.20B,14.481793,13.359174,3.57,,,,,,,,,,,,
CHD,"Church & Dwight Co., Inc.",20.86B,27.40063,23.286863,3.17,56.855,,,,,,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",17.65B,30.189901,31.394957,4.95,80.904,,,,,,,,,,,
CHTR,"Charter Communications, Inc.",28.45B,6.09706,6.144774,36.06,497.907,,,,,,,,,,,
CI,The Cigna Group,70.68B,11.707079,8.447637,22.6,81.021,,,,,,,,,,,
CINF,Cincinnati Financial Corporation,25.69B,12.259121,22.461119,13.43,5.732,,,,,,,,,,,
CL,Colgate-Palmolive Company,63.49B,22.061626,20.404146,3.57,680.048,,,,,,,,,,,
CLX,The Clorox Company,13.10B,16.854004,14.727023,6.37,2230.435,,,,,,,,,,,
CMCSA,Comcast Corporation,99.66B,4.5431895,6.2442923,6.02,101.462,,,,,,,,,,,
CME,CME Group Inc.,99.71B,26.81862,26.663452,10.31,13.372,,,,,,,,,,,
CMG,"Chipotle Mexican Grill, Inc.",40.45B,27.070797,23.351147,1.13,154.574,,,,,,,,,,,
CMI,Cummins Inc.,65.34B,24.512688,21.01865,19.31,62.949,,,,,,,,,,,
CMS,CMS Energy Corporation,22.29B,21.103746,20.455309,3.47,191.634,,,,,,,,,,,
CNC,Centene Corporation,18.46B,,5.3352275,-10.67,83.51,,,,,,,,,,,
CNP,"CenterPoint Energy, Inc.",25.73B,24.943037,22.649426,1.58,202.111,,,,,,,,,,,
COF,Capital One Financial Corporation,138.48B,74.595894,13.909324,2.92,,,,,,,,,,,,
COIN,"Coinbase Global, Inc.",83.36B,26.742214,86.59384,11.56,48.559,,,,,,,,,,,
COO,"The Cooper Companies, Inc.",13.94B,34.362743,17.181372,2.04,29.67,,,,,,,,,,,
COP,ConocoPhillips,107.30B,12.264125,10.813201,7.08,36.169,,,,,,,,,,,
COR,"Cencora, Inc.",69.93B,45.257217,22.047678,7.97,438.489,,,,,,,,,,,
COST,Costco Wholesale Corporation,408.94B,50.755775,46.887196,18.18,34.066,,,,,,,,,,,
CPAY,"Corpay, Inc.",19.53B,18.798777,12.467538,14.71,197.201,,,,,,,,,,,
CPB,The Campbell's Company,9.15B,15.293532,9.014663,2.01,184.734,,,,,,,,,,,
CPRT,"Copart, Inc.",39.21B,25.477985,23.281609,1.59,1.127,,,,,,,,,,,
CPT,Camden Property Trust,10.88B,41.20648,62.82716,2.47,81.102,,,,,,,,,,,
CRL,"Charles River Laboratories International, Inc.",8.27B,,16.347277,-1.53,76.251,,,,,,,,,,,
CRM,"Salesforce, Inc.",228.37B,34.86628,21.55256,6.88,19.255,,,,,,,,,,,
CRWD,"CrowdStrike Holdings, Inc.",135.47B,,126.419205,-1.19,21.36,,,,,,,,,,,
CSCO,"Cisco Systems, Inc.",280.07B,27.870588,18.223076,2.55,63.282,,,,,,,,,,,
CSGP,"CoStar Group, Inc.",28.62B,1125.3333,60.28571,0.06,13.126,,,,,,,,,,,
CSX,CSX Corporation,65.81B,22.948053,17.408867,1.54,155.283,,,,,,,,,,,
CTAS,Cintas Corporation,74.37B,41.126667,39.544876,4.5,56.254,,,,,,,,,,,
CTRA,Coterra Energy Inc.,20.23B,12.300925,11.403434,2.16,27.957,,,,,,,,,,,
CTSH,Cognizant Technology Solutions Corporation,35.33B,16.944443,14.669339,4.32,7.854,,,,,,,,,,,
CTVA,"Corteva, Inc.",43.35B,25.97166,19.984425,2.47,17.175,,,,,,,,,,,
CVS,CVS Health Corporation,100.27B,207.86842,12.189815,0.38,111.821,,,,,,,,,,,
CVX,Chevron Corporation,309.94B,21.772472,14.041667,7.12,21.239,,,,,,,,,,,
D,"Dominion Energy, Inc.",52.58B,20.124184,18.218935,3.06,154.315,,,,,,,,,,,
DAL,"Delta Air Lines, Inc.",38.45B,8.304654,8.387465,7.09,117.299,,,,,,,,,,,
DASH,"DoorDash, Inc.",88.06B,103.18687,114.7809,1.98,34.255,,,,,,,,,,,
DAY,Dayforce Inc,10.94B,,30.9276,-0.95,45.53,,,,,,,,,,,
DD,"DuPont de Nemours, Inc.",16.68B,23.00578,9.066059,1.73,39.673,,,,,,,,,,,
DDOG,"Datadog, Inc.",67.06B,616.90326,94.2069,0.31,37.199,,,,,,,,,,,
DE,Deere & Company,126.46B,24.453217,21.100136,19.13,266.767,,,,,,,,,,,
DECK,Deckers Outdoor Corporation,11.92B,12.150074,12.856917,6.73,14.22,,,,,,,,,,,
DELL,Dell Technologies Inc.,98.32B,21.416058,15.606383,6.85,,,,,,,,,,,,
DG,Dollar General Corporation,21.84B,18.374073,15.951769,5.4,213.026,,,,,,,,,,,
DGX,Quest Diagnostics Incorporated,19.97B,21.043377,18.391394,8.53,86.524,,,,,,,,,,,
DHI,"D.R. Horton, Inc.",42.63B,12.512533,9.087885,11.57,24.111,,,,,,,,,,,
DHR,Danaher Corporation,148.29B,43.2866,25.052505,4.85,35.544,,,,,,,,,,,
DIS,The Walt Disney Company,199.10B,17.357367,21.502913,6.38,37.152,,,,,,,,,,,
DLR,"Digital Realty Trust, Inc.",59.41B,44.012955,140.40495,3.86,79.248,,,,,,,,,,,
DLTR,"Dollar Tree, Inc.",21.57B,20.492249,17.448845,5.16,203.675,,,,,,,,,,,
DOC,"Healthpeak Properties, Inc.",12.38B,,71.28,-0.06,114.248,,,,,,,,,,,
DOV,Dover Corporation,24.73B,23.480469,19.163656,7.68,40.076,,,,,,,,,,,
DOW,Dow Inc.,15.84B,,7.167203,-1.61,102.943,,,,,,,,,,,
