Symbol,Security,Sector,Headquarters
CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey"
CI,Cigna,Health Care,"Bloomfield, Connecticut"
CINF,Cincinnati Financial,Financials,"Fairfield, Ohio"
CTAS,Cintas Corporation,Industrials,"Mason, Ohio"
CSCO,Cisco Systems,Information Technology,"San Jose, California"
C,Citigroup,Financials,"New York City, New York"
CFG,Citizens Financial Group,Financials,"Providence, Rhode Island"
CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida"
CLX,Clorox,Consumer Staples,"Oakland, California"
CME,CME Group,Financials,"Chicago, Illinois"
CMS,CMS Energy,Utilities,"Jackson, Michigan"
KO,Coca-Cola,Consumer Staples,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions,Information Technology,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Consumer Staples,"New York City, New York"
CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania"
CMA,Comerica,Financials,"Dallas, Texas"
CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois"
COP,ConocoPhillips,Energy,"Houston, Texas"
ED,Consolidated Edison,Utilities,"New York City, New York"
STZ,Constellation Brands,Consumer Staples,"Victor, New York"
COO,The Cooper Companies,Health Care,"San Ramon, California"
CPRT,Copart,Industrials,"Dallas, Texas"
GLW,Corning,Information Technology,"Corning, New York"
CTVA,Corteva,Materials,"Wilmington, Delaware"
COST,Costco,Consumer Staples,"Issaquah, Washington"
CTRA,Coterra,Energy,"Houston, Texas"
CCI,Crown Castle,Real Estate,"Houston, Texas"
CSX,CSX,Industrials,"Jacksonville, Florida"
CMI,Cummins,Industrials,"Columbus, Indiana"
CVS,CVS Health,Health Care,"Woonsocket, Rhode Island"
DHI,D. R. Horton,Consumer Discretionary,"Arlington, Texas"
DHR,Danaher,Health Care,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida"
DVA,DaVita,Health Care,"Denver, Colorado"
DE,Deere & Co.,Industrials,"Moline, Illinois"
DAL,Delta Air Lines,Industrials,"Atlanta, Georgia"
XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina"
DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma"
DXCM,DexCom,Health Care,"San Diego, California"
FANG,Diamondback Energy,Energy,"Midland, Texas"
DLR,Digital Realty Trust,Real Estate,"Austin, Texas"
DFS,Discover Financial Services,Financials,"Riverwoods, Illinois"
DISCA,Discovery (Series A),Communication Services,"New York City, New York"
DISCK,Discovery (Series C),Communication Services,"New York City, New York"
DISH,Dish Network,Communication Services,"Meridian, Colorado"
DG,Dollar General,Consumer Discretionary,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Discretionary,"Chesapeake, Virginia"
D,Dominion Energy,Utilities,"Richmond, Virginia"
DPZ,Domino's Pizza,Consumer Discretionary,"Ann Arbor, Michigan"
DOV,Dover Corporation,Industrials,"Downers Grove, Illinois"
DOW,Dow,Materials,"Midland, Michigan"
DTE,DTE Energy,Utilities,"Detroit, Michigan"
DUK,Duke Energy,Utilities,"Charlotte, North Carolina"
DRE,Duke Realty Corp,Real Estate,"Indianapolis, Indiana"
DD,DuPont,Materials,"Wilmington, Delaware"
DXC,DXC Technology,Information Technology,"Tysons Corner, Virginia"
EMN,Eastman Chemical,Materials,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,"Dublin , Ireland"
EBAY,eBay,Consumer Discretionary,"San Jose, California"
