symbol,start_price,end_price,return_45d,vol_45d,avg_volume,vol_spike,n_days,z_return,z_vol,z_volume,anomaly_score,category,market_context
A,144.690002441406,136.660003662109,-5.5497951785223325,1.6047083037260115,2031712.5,1.961153460442853,32,-0.7765755565657453,-0.31007741976483627,-0.2755317605926562,1.0693801467444917,NORMAL,DOWN_WHILE_MARKET_UP
AAL,13.4099998474121,15.0299997329712,12.080536196812353,2.913221337692433,54185241.93548387,1.3915025070806983,31,0.9682519590111816,1.2865392083733944,-0.9717992590003574,2.0974211926980573,NORMAL,OUTPERFORMING_MARKET
AAP,47.4099998474121,44.0699996948242,-7.044927575063509,3.2570622835693883,1528906.4516129033,1.9035827842375217,31,-0.9245448765619212,1.7060857909227676,-0.34589869400432055,1.9505371190254652,NORMAL,DOWN_WHILE_MARKET_UP
AAPL,269.049987792969,271.839996337891,1.036985196620388,0.9315600479572237,44595303.125,1.4706885121099846,32,-0.12469923087796694,-1.131436986283509,-0.8750125489892024,1.1279239985143228,NORMAL,UNDERPERFORMING_MARKET
ABBV,211.960006713867,224.309997558594,5.826566547244338,1.5796834808909417,5839762.5,1.7510814866186768,32,0.349313035298404,-0.3406121161855301,-0.5322965159868928,0.7857673513846155,NORMAL,OUTPERFORMING_MARKET
ABNB,126.800003051758,133.779998779297,5.504728359264988,1.8018024669704071,5399734.375,2.1771441303536343,32,0.31746155650343266,-0.06958778750560711,-0.01153275816743833,0.3580218293399554,NORMAL,OUTPERFORMING_MARKET
ABT,123.839996337891,126.709999084473,2.317508746327279,1.3227571129257703,6336193.75,2.216046502681519,32,0.0020308161249305025,-0.6541075882611113,0.03601646000378293,0.3470928402573776,NORMAL,IN_LINE
ACGL,86,95.8899993896484,11.49999929028882,0.9104557960454623,2189840.625,1.644685900372316,32,0.9107977486083471,-1.1571878948736949,-0.6623406917056304,1.8205620418980097,NORMAL,OUTPERFORMING_MARKET
ACN,248.440002441406,273.739990234375,10.183540309268825,1.8161807248402828,3872459.375,1.797798072445886,32,0.7805112665048055,-0.05204377762355347,-0.47519621595916606,1.0441312632961652,NORMAL,OUTPERFORMING_MARKET
ADBE,337.470001220703,354.660003662109,5.093786819339785,1.7238946599464646,4154696.875,2.4451121960612348,32,0.2767917533732328,-0.16464904935575314,0.31599667658936637,0.5171146163457925,NORMAL,OUTPERFORMING_MARKET
ADI,233.610000610352,271.040008544922,16.022433901278532,2.054321549788675,4134540.625,1.9881047849179134,32,1.358371204754034,0.2385300195656271,-0.24258995445633877,1.5989311917650169,NORMAL,OUTPERFORMING_MARKET
ADM,60.0900001525879,58.560001373291,-2.546178690983081,2.041031919378637,3300015.625,2.5045942017319995,32,-0.47931553449769615,0.2223143271394236,0.3886997714305442,0.7848225837826801,NORMAL,DOWN_WHILE_MARKET_UP
ADP,257.170013427734,265.470001220703,3.227432188668211,1.05638072888571,2302837.5,1.5208628485509725,32,0.09208354545060342,-0.9791337462448071,-0.8136859427369993,0.9884933899415066,NORMAL,IN_LINE
ADSK,303.640014648438,292.970001220703,-3.51403402482674,1.1239927700754482,1533846.875,3.0553245414409442,32,-0.5751016307222347,-0.8966351341379957,1.0618411638273528,1.554339779704909,NORMAL,DOWN_WHILE_MARKET_UP
AEE,101.540000915527,98.5299987792969,-2.9643511021180458,1.0579770514665838,1857959.375,1.8436893971376527,32,-0.5207009579290571,-0.9771859512207333,-0.4191046081892443,1.2188462376340459,NORMAL,DOWN_WHILE_MARKET_UP
AEP,119.919998168945,114.709999084473,-4.3445623449160475,1.0004185116292583,3454968.75,1.8625349360974683,32,-0.6572968336657866,-1.047417518969862,-0.396070263753848,1.3790407250276417,NORMAL,DOWN_WHILE_MARKET_UP
AES,13.6199998855591,13.4799995422363,-1.0279026762051502,1.5914606890796097,7979209.375,1.942272632744394,32,-0.32905575148923727,-0.32624184555087354,-0.29860923740873613,0.6414812929690421,NORMAL,DOWN_WHILE_MARKET_UP
AFL,106.970001220703,110.5,3.299989472762399,1.1058337882820697,2502556.25,2.6561640722361384,32,0.09926434897878826,-0.9187922938519366,0.5739591376214113,0.8456400647154622,NORMAL,IN_LINE
AIG,78.9599990844727,86.1399993896484,9.093212244714465,1.8841374099898907,5002100,2.683752823813998,32,0.6726043663145039,0.030875360884471917,0.6076800520373934,0.9918820727754365,NORMAL,OUTPERFORMING_MARKET
AIZ,212.110000610352,237.039993286133,11.753332046600494,1.084328577789831,308178.125,1.4666842430818217,32,0.9358694250504561,-0.9450324426102883,-0.8799068484944259,1.848339070602813,NORMAL,OUTPERFORMING_MARKET
AJG,242.979995727539,250.899993896484,3.2595268368618813,1.6135567211291082,1714493.75,1.508725243238711,32,0.09525986834998024,-0.29928079031463667,-0.8285213784324007,0.659160952723499,NORMAL,IN_LINE
AKAM,74.5299987792969,87.5500030517578,17.469481397707497,3.154573311696049,3828371.875,5.110971618973144,32,1.5015816886844888,1.5810311736235072,3.574397738752476,4.0792961448724805,VOLUME_SPIKE,OUTPERFORMING_MARKET
ALB,96.5299987792969,134.710006713867,39.55247945445812,3.7538893837941685,3746878.125,1.9927522996227693,32,3.687077911957765,2.3123024574270916,-0.23690943480081242,4.961683858071717,STRONG_OUTPERFORMER,OUTPERFORMING_MARKET
ALGN,138.529998779297,160.580001831055,15.917132206784768,2.206320463175469,1458750,4.294155955441303,32,1.3479497730703025,0.42399549547048976,2.576028131274654,2.8479615864428744,VOLUME_SPIKE,OUTPERFORMING_MARKET
