Symbol
A
AAL
AAP
AAPL
ABBV
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
AON
AOS
APA
APD
APH
APO
APP
APTV
ARE
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBWI
BBY
BDX
BEN
BG
BIIB
BIO
BK
BKNG
BKR
BLDR
BLK
BMY
BR
BRO
BSX
BWA
BX
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDNS
CDW
CE
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COIN
COO
COP
COR
COST
CPAY
CPB
CPRT
CPT
CRL
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CTVA
CVS
CVX
CZR
D
DAL
DASH
DAY
DD
DDOG
DE
DECK
DELL
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOC
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXC
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EME
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXC
EXE
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FISV
FITB
FMC
FOX
FOXA
FRT
FSLR
FTNT
FTV
GD
GDDY
GE
GEHC
GEN
GEV
GILD
GIS
GL
GLW
GM
GNRC
GOOG
GOOGL
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HBI
HCA
HD
HIG
HII
HLT
HOLX
HON
HOOD
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBKR
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INFO
INTC
INTU
INVH
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JPM
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KR
KVUE
L
LDOS
LEG
LEN
LH
LHX
LII
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LULU
LUMN
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
NXPI
O
ODFL
OGN
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PAYC
PAYX
PCAR
PCG
PEG
PENN
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PLTR
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSKY
PSX
PTC
PVH
PWR
PYPL
QCOM
QRVO
RBLX
RCL
REG
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
RVTY
SBAC
SBUX
SCHW
SEE
SHW
SJM
SLB
SMCI
SNA
SNPS
SO
SOLV
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SW
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGT
TJX
TKO
TMO
TMUS
TPL
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTD
TTWO
TXN
TXT
TYL
UA
UAA
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VFC
VICI
VLO
VLTO
VMC
VNO
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBD
WDAY
WDC
WEC
WELL
WFC
WHR
WM
WMB
WMT
WRB
WSM
WST
WTW
WU
WY
WYNN
XEL
XOM
XRAY
XYL
XYZ
YUM
ZBH
ZBRA
ZION
ZTS
