"Symbol","Company","Sector","MarketCap","EnterpriseValue","TrailingPE","ForwardPE","PEGRatio","PriceToBook","PriceToSales","EnterpriseToRevenue","EnterpriseToEBITDA","ROE","ROA","ProfitMargin","GrossMargin","OperatingMargin","EBITDAMargin","RevenueGrowth","EarningsGrowth","QuarterlyEarningsGrowth","revenue","ebitda","net_income","gross_profits","OperatingCashFlow","FreeCashFlow","TotalCash","TotalDebt","CurrentRatio","QuickRatio","DebtToEquity","TrailingEPS","EPS","BookValue","CashPerShare","dividend_yield","DividendRate","PayoutRatio","ExDividendDate","DividendDate","FiveYearAvgDividendYield","SharesOutstanding","FloatShares","SharesShort","ShortRatio","ShortPercentOfFloat","InsiderOwnership","InstitutionalOwnership","CurrentPrice","PreviousClose","Open","DayHigh","DayLow","FiftyTwoWeekHigh","FiftyTwoWeekLow","FiftyDayAverage","TwoHundredDayAverage","Volume","AverageVolume","AverageVolume10Day","Beta","TargetMeanPrice","TargetHighPrice","TargetLowPrice","NumberOfAnalysts","Recommendation","RecommendationMean","LastUpdated","start_price","end_price","return_45d","vol_45d","avg_volume","vol_spike","n_days","z_return","z_vol","z_volume","anomaly_score","category","market_context"
"ADI","Analog Devices, Inc.","Technology",135555842048,140864585728,60.57768,24.632545,NA,4.008688,12.30122,12.783,28.205,0.06573,0.03891,0.20575,0.61467,0.30501,0.45321998,0.259,0.661,0.648,11019707392,4994371072,2267342080,6773477888,4812201984,3904020224,3652321024,8961063936,2.19,1.568,26.5,4.57,11.23879,69.06,7.459,1.43,3.96,0.8531,1765152000,1766361600,1.71,489654097,487886446,10995864,2.49,0.0225,0.0026,0.93851,276.84,277.56,277.73,278,275.94,284.23,158.65,252.9872,231.28584,1717316,3744555,3669100,1.039,285.5625,350,192,32,"buy",1.75,"2025-12-27 20:40:02",233.610000610352,271.040008544922,16.0224339012785,2.05432154978867,4134540.625,1.98810478491791,32,1.35837120475403,0.238530019565627,-0.242589954456339,1.59893119176502,"NORMAL","OUTPERFORMING_MARKET"
"ADM","Archer-Daniels-Midland Company","Consumer Defensive",27829792768,36059791360,23.54065,13.545788,NA,1.2357297,0.3344485,0.433,14.315,0.05242,0.0175,0.01429,0.062230002,0.01949,0.030269999,0.022,4.891,5,83211001856,2519000064,1188999936,5177999872,6087000064,2467624960,1235000064,9207000064,1.372,0.369,40.467,2.46,4.27513,46.863,2.57,3.52,2.04,0.82519996,1763510400,1765411200,2.69,480569735,474788481,14137135,5.06,0.0387,0.0060799997,0.8687,57.91,57.78,57.71,57.945,57.535,65,40.98,59.4908,55.12285,1141830,3323311,2940320,0.686,56.9,70,50,10,"hold",3.18182,"2025-12-27 20:40:05",60.0900001525879,58.560001373291,-2.54617869098308,2.04103191937864,3300015.625,2.504594201732,32,-0.479315534497696,0.222314327139424,0.388699771430544,0.78482258378268,"NORMAL","DOWN_WHILE_MARKET_UP"
"ADP","Automatic Data Processing, Inc.","Technology",104853364736,106864910336,25.577076,21.668774,NA,16.442638,5.0160913,5.112,17.539,0.70572996,0.06624,0.19788,0.48306,0.25891,0.29149,0.071,0.064,0.059,20903399424,6093100032,4136399872,10097699840,4757600256,4415287296,7696699904,9874100224,1.054,0.266,154.917,10.12,11.9453,15.742,19.03,2.63,6.8,0.6081,1765497600,1767225600,1.96,404448744,403550868,7618073,3.29,0.021,0.00155,0.86919,258.84,258.1,258.1,259.05,257.4,329.93,247.18,261.7562,292.2262,884049,2184879,2801620,0.86,289.53845,332,230,13,"hold",3,"2025-12-27 20:40:07",257.170013427734,265.470001220703,3.22743218866821,1.05638072888571,2302837.5,1.52086284855097,32,0.0920835454506034,-0.979133746244807,-0.813685942736999,0.988493389941507,"NORMAL","IN_LINE"
"ADSK","Autodesk, Inc.","Technology",64051228672,64195518464,58.50389,25.938347,NA,22.036493,9.298959,9.32,36.228,0.40333998,0.097449996,0.16129999,0.92130995,0.25688,0.25726,0.18,0.26,0.247,6.888e+09,1.772e+09,1111000064,6345999872,2155000064,2541374976,2288999936,2734000128,0.823,0.654,94.504,5.14,11.59326,13.646,10.797,NA,NA,0,1111449600,NA,0.48,2.12e+08,211482720,3717789,2.12,0.0176,0.00209,0.95852,300.71,298.21,298.42,300.72,298.34,329.09,232.67,300.5748,294.95624,388364,1415182,1514650,1.475,366.13367,460,275,30,"buy",1.5625,"2025-12-27 20:40:12",303.640014648438,292.970001220703,-3.51403402482674,1.12399277007545,1533846.875,3.05532454144094,32,-0.575101630722235,-0.896635134137996,1.06184116382735,1.55433977970491,"NORMAL","DOWN_WHILE_MARKET_UP"
"AEE","Ameren Corporation","Utilities",26998095872,47222095872,19.194231,18.659248,NA,2.1125598,3.126589,5.469,13.321,0.11387,0.02931,0.1634,0.47099,0.34,0.41054,0.248,0.382,0.404,8634999808,3544999936,1411000064,4067000064,3214000128,-2117750016,9e+06,20103999488,0.93,0.461,155.736,5.2,5.34909,47.246,0.033,2.85,2.84,0.5385,1765238400,1767139200,2.83,270494916,269212770,8110704,4.54,0.0385,0.003,0.87169,99.81,99.84,99.61,99.94,99.375,106.73,86.81,102.3684,99.79365,470097,1808722,2323570,0.581,111.61538,125,98,13,"buy",2.06667,"2025-12-27 20:40:17",101.540000915527,98.5299987792969,-2.96435110211805,1.05797705146658,1857959.375,1.84368939713765,32,-0.520700957929057,-0.977185951220733,-0.419104608189244,1.21884623763405,"NORMAL","DOWN_WHILE_MARKET_UP"
"AEP","American Electric Power Company, Inc.","Utilities",61914169344,109601071104,16.96041,18.309835,NA,2.036838,2.9126484,5.156,12.515,0.12923001,0.03209,0.17228001,0.48422,0.25885,0.41197,0.109,0.006,0.013,21257000960,8757300224,3662099968,10293000192,6858200064,-4280337408,1293100032,47890001920,0.686,0.419,152.132,6.82,6.31737,56.789,2.416,3.29,3.8,0.5447,1762732800,1765324800,3.56,534094530,534473409,22650297,6.76,0.0424,0.00253,0.8668,115.67,115.31,115.19,115.92,115,124.8,89.91,118.6316,110.1749,1879546,3538717,3323920,0.598,128.97221,139,107,18,"buy",2.30435,"2025-12-27 20:40:21",119.919998168945,114.709999084473,-4.34456234491605,1.00041851162926,3454968.75,1.86253493609747,32,-0.657296833665787,-1.04741751896986,-0.396070263753848,1.37904072502764,"NORMAL","DOWN_WHILE_MARKET_UP"
"AES","The AES Corporation","Utilities",10019542016,46821539840,9.256578,6.0815363,NA,2.5925925,0.82847214,3.871,14.604,0.05106,0.02269,0.0874,0.17265,0.20501,0.26509002,0.019,0.253,0.268,12094000128,3206000128,1079000064,2.088e+09,3905999872,-3689874944,1.758e+09,31894999040,0.723,0.376,302.896,1.52,2.31356,5.427,2.469,5,0.7,0.46080002,1769731200,1770940800,3.58,712120944,708061855,21926470,3.04,0.0354,0.0046200003,0.90589,14.07,13.96,14.01,14.08,13.92,15.51,9.46,13.9852,12.5955,2467138,9341496,6291260,1.001,15.29167,24,8.5,12,"buy",2.28571,"2025-12-27 20:40:26",13.6199998855591,13.4799995422363,-1.02790267620515,1.59146068907961,7979209.375,1.94227263274439,32,-0.329055751489237,-0.326241845550874,-0.298609237408736,0.641481292969042,"NORMAL","DOWN_WHILE_MARKET_UP"
"AFL","Aflac Incorporated","Financial Services",58777980928,62815121408,14.4415245,14.906809,NA,2.0139272,3.3206024,3.549,11.724,0.1558,0.02645,0.23552,0.48172,0.4327,0.30269,0.607,NA,NA,17700999168,5358000128,4168999936,8527000064,2572999936,6489999872,9130000384,14344999936,1.089,0.993,50.003,7.61,7.37247,54.57,17.42,2.22,2.44,0.2943,1771372800,1772409600,2.19,524113917,519936729,6472557,2.6,0.0124,0.10718001,0.58979,109.9,110.62,110.55,110.845,109.66,115.84,96.95,109.8722,106.8544,764730,2223619,2964930,0.658,110.84615,127,101,13,"hold",3.07692,"2025-12-27 20:40:30",106.970001220703,110.5,3.2999894727624,1.10583378828207,2502556.25,2.65616407223614,32,0.0992643489787883,-0.918792293851937,0.573959137621411,0.845640064715462,"NORMAL","IN_LINE"
"AIG","American International Group, Inc.","Financial Services",47910252544,44934537216,15.553958,10.994641,NA,1.1460984,1.7666022,1.657,5.404,0.07688,0.017819999,0.120170005,0.34012002,0.15235,0.3066,-0.041,0.323,0.131,27120001024,8314999808,3304999936,9223999488,2803000064,9084624896,11002999808,9242999808,0.617,0.214,22.48,5.56,7.86565,75.456,20.392,2.08,1.8,0.3058,1765843200,1767052800,2.24,539576054,538011283,14221251,2.9,0.0352,0.0031,1.01112,86.48,86.52,86.42,86.66,86.13,88.07,69.24,79.2282,81.1545,1172735,4466985,5048080,0.626,88.15,101,79,20,"buy",2.45455,"2025-12-27 20:40:34",78.9599990844727,86.1399993896484,9.09321224471446,1.88413740998989,5002100,2.683752823814,32,0.672604366314504,0.0308753608844719,0.607680052037393,0.991882072775436,"NORMAL","OUTPERFORMING_MARKET"
"AIZ","Assurant, Inc.","Financial Services",12116770816,12174076928,14.642074,11.517502,NA,2.093238,0.9640433,0.969,8.63,0.15413,0.020539999,0.06753,0.11491,0.11153,0.11224,0.089,1.027,0.985,12568699904,1410700032,848800000,1444300032,1265699968,988275008,2058300032,2206400000,0.41,0.146,38.316,16.4,20.84914,114.717,41.099,1.47,3.52,0.195,1764547200,1766966400,1.71,50081110,49787635,668514,2.31,0.020599999,0.00625,0.96649003,240.13,241.89,242.15,243.755,239.445,243.76,174.97,223.359,207.38005,161131,299939,355940,0.573,255.66667,265,246,6,"buy",1.57143,"2025-12-27 20:40:35",212.110000610352,237.039993286133,11.7533320466005,1.08432857778983,308178.125,1.46668424308182,32,0.935869425050456,-0.945032442610288,-0.879906848494426,1.84833907060281,"NORMAL","OUTPERFORMING_MARKET"
"AJG","Arthur J. Gallagher & Co.","Financial Services",67149373440,79483166720,41.836803,19.5311,NA,2.8935983,5.559367,6.58,23.099,0.090670004,0.023020001,0.13257,0.43601,0.17212,0.28488,0.2,-0.252,-0.128,12078600192,3440999936,1601200000,5266400256,1916300032,820150016,1400800000,13704800256,1.055,0.167,58.979,6.25,13.38788,90.365,5.455,0.99,2.6,0.4073,1764892800,1766102400,1.04,256805000,253898160,3898403,2.35,0.0171,0.00916,0.92069,261.48,260.77,260.76,261.91,259.3211,351.23,236.34,256.1322,301.14444,690668,1671053,1764830,0.688,301.27777,388,250,18,"buy",2,"2025-12-27 20:40:38",242.979995727539,250.899993896484,3.25952683686188,1.61355672112911,1714493.75,1.50872524323871,32,0.0952598683499802,-0.299280790314637,-0.828521378432401,0.659160952723499,"NORMAL","IN_LINE"
"AKAM","Akamai Technologies, Inc.","Technology",12720563200,16832896000,25.929617,12.045944,NA,2.6863947,3.0776534,4.073,14.341,0.10642,0.03785,0.12262999,0.59126997,0.15743,0.28398,0.05,1.553,1.421,4133201920,1173728000,506864000,2443834112,1495969024,565246016,1118739968,5231072256,2.281,1.983,110.548,3.41,7.34023,32.914,7.776,NA,NA,0,NA,NA,NA,143865237,140661358,12028497,3.23,0.1113,0.01959,1.0048699,88.42,88.82,88.47,88.885,88.08,103.75,67.51,83.35,79.04105,1235621,2753377,2322410,0.682,98.31818,134,69,22,"buy",2.20833,"2025-12-27 20:40:43",74.5299987792969,87.5500030517578,17.4694813977075,3.15457331169605,3828371.875,5.11097161897314,32,1.50158168868449,1.58103117362351,3.57439773875248,4.07929614487248,"VOLUME_SPIKE","OUTPERFORMING_MARKET"
"ALB","Albemarle Corporation","Basic Materials",17655805952,21996265472,NA,138.70294,NA,2.2748432,3.5694146,4.447,31.564,0.00209,0.0014,-0.00428,0.12389,-0.02244,0.14088,-0.035,NA,NA,4946415104,696873984,-187907008,612798016,903595008,-155030256,1931757952,3764165888,2.273,1.384,36.655,-1.59,1.08152,65.943,16.413,1.08,1.62,0.5797,1765497600,1767312000,1.19,117697540,117303253,9764134,2.69,0.1251,0.00379,0.96023005,150.01,148.51,150.28,152.08,147.74,152.08,49.43,116.4962,82.14275,1415670,3534058,2847130,1.431,124.83826,200,75,23,"buy",2.42308,"2025-12-27 20:40:45",96.5299987792969,134.710006713867,39.5524794544581,3.75388938379417,3746878.125,1.99275229962277,32,3.68707791195776,2.31230245742709,-0.236909434800812,4.96168385807172,"STRONG_OUTPERFORMER","OUTPERFORMING_MARKET"
"ALGN","Align Technology, Inc.","Healthcare",11479665664,10479728640,30.69186,14.460373,NA,2.882914,2.8824391,2.631,12.924,0.095769994,0.06323,0.095010005,0.69254994,0.15673,0.20361,0.018,-0.497,-0.511,3982621952,810888000,378398016,2758157056,656124032,588808768,1004588992,121271000,1.289,1.091,3.064,5.16,10.952,54.934,14.001,NA,NA,0,NA,NA,NA,71749995,67215395,2930921,1.75,0.0531,0.06756,0.97938,158.37,157.84,157.56,158.64,156.76,237.23,122,145.4102,159.15135,498706,1380549,1198110,1.859,179.8,220,150,15,"buy",2.16667,"2025-12-27 20:40:49",138.529998779297,160.580001831055,15.9171322067848,2.20632046317547,1458750,4.2941559554413,32,1.3479497730703,0.42399549547049,2.57602813127465,2.84796158644287,"VOLUME_SPIKE","OUTPERFORMING_MARKET"
"ALK","Alaska Air Group, Inc.","Industrials",5972254208,10171253760,42.55372,9.168725,NA,1.4726576,0.42233607,0.719,7.613,0.03526,0.018860001,0.01061,0.21688999,0.056560002,0.09448,0.226,-0.663,-0.691,14140999680,1.336e+09,1.5e+08,3067000064,1.338e+09,132250000,2.272e+09,6471000064,0.52,0.429,160.611,1.21,5.61583,34.964,19.588,NA,NA,0,1581638400,1441065600,1.95,115988613,115412150,8078397,2.14,0.095,0.00558,0.91423,51.49,51.38,51.3,51.74,51.1,78.08,37.63,45.4366,50.33455,751037,3499614,2504080,1.238,65.86667,94,50,15,"strong_buy",1.26667,"2025-12-27 20:40:54",41.0699996948242,52.4199981689453,27.6357403419983,2.83022073734665,3684477.41935484,1.95596259109709,31,2.50770959171954,1.18526384067161,-0.281876406542261,3.24127971532648,"STRONG_OUTPERFORMER","OUTPERFORMING_MARKET"
"ALL","The Allstate Corporation","Financial Services",54756409344,54778458112,6.738003,8.632181,NA,2.1346977,0.81914264,0.819,5.442,0.34469002,0.05093,0.12533,0.28204,0.24439,0.15057,0.038,2.222,2.148,66845999104,10065000448,8261000192,18852999168,8826000384,6504249856,9674000384,8089999872,0.426,0.288,29.43,30.84,24.07271,97.344,36.969,1.92,4,0.1271,1764547200,1767312000,2.34,261681708,260135169,3833912,2.38,0.0168,0.0055299997,0.81067,207.8,209.05,208.73,209.95,207.39,215.89,176,203.622,202.27005,508257,1479368,1710490,0.249,236.04762,300,157,21,"buy",1.95833,"2025-12-27 20:40:56",191.25,209.080001831055,9.32287677440784,1.25082281818357,1585703.125,1.57980391190816,32,0.695333660632911,-0.741880111833652,-0.741644025673602,1.43709572938654,"NORMAL","OUTPERFORMING_MARKET"
"ALLE","Allegion plc","Industrials",13833076736,15790077952,21.728376,18.08098,NA,7.1061115,3.4759095,3.968,16.421,0.36411,0.10391,0.16092,0.45116,0.21856001,0.24163,0.107,0.095,0.082,3979699968,961600000,640400000,1795500032,762700032,512487488,302700000,2259699968,1.771,1.014,116.084,7.4,8.89277,22.627,3.518,1.27,2.04,0.272,1765843200,1767139200,1.35,86031953,84828366,3102811,3.53,0.041300002,0.01122,0.98577005,160.79,160.85,160.35,161.45,159.9,180.68,116.57,164.923,154.5018,190874,827968,909880,1.043,182.18182,203,165,11,"hold",2.58333,"2025-12-27 20:41:01",164.679992675781,160.710006713867,-2.41072755555075,1.31619510255124,812175,1.87681226336689,32,-0.465910291959311,-0.662114397980256,-0.378619509246807,0.986277245572842,"NORMAL","DOWN_WHILE_MARKET_UP"
"AMAT","Applied Materials, Inc.","Technology",208640655360,206148861952,30.207611,22.662905,NA,10.173244,7.3547893,7.267,23.044,0.35508,0.15045999,0.24669,0.48675,0.28441,0.31535998,-0.035,0.133,0.096,28367998976,8945999872,6998000128,1.3808e+10,7958000128,3653250048,8573000192,7049999872,2.61,1.72,34.533,8.67,11.55633,25.744,10.812,0.7,1.84,0.19860001,1771459200,1773273600,0.82,792943366,789383050,17743721,2.4,0.0224,0.00291,0.8532,261.9,260.78,261.82,262.9399,260.2,276.1,123.74,243.1204,189.86185,1742578,7863319,7240680,1.666,259.53125,360,180,32,"buy",1.92105,"2025-12-27 20:41:03",237.710006713867,248.270004272461,4.44238663091081,2.83513775535338,7713453.125,1.97763566496037,32,0.212324390382372,1.19126346964481,-0.255386049890478,0.935649150150017,"NORMAL","OUTPERFORMING_MARKET"
"AMCR","Amcor plc","Consumer Cyclical",19205554176,34160603136,27.733332,9.322965,NA,1.6365066,1.1037041,1.963,13.692,0.07467,0.03593,0.03345,0.18958999,0.09713,0.14338,0.713,-0.144,0.372,17400999936,2495000064,5.82e+08,3299000064,1.526e+09,413124992,8.25e+08,15797999616,1.042,0.52,134.68,0.3,0.89242,5.084,0.358,6.25,0.52,1.6944001,1764288000,1765929600,4.66,2308359941,2293973664,97756291,4.61,0.0456,0.00234,0.68214995,8.32,8.26,8.28,8.32,8.25,10.45,7.67,8.288,8.8727,9890662,22141190,18073130,0.681,10.81818,14.5,9,11,"buy",1.75,"2025-12-27 20:41:05",7.8600001335144,8.36999988555908,6.48854635345466,1.15682082898467,23723984.375,1.98290047980189,32,0.414827435228968,-0.856579113782516,-0.248951022550227,0.96759250339534,"NORMAL","OUTPERFORMING_MARKET"
"AMD","Advanced Micro Devices, Inc.","Technology",350012669952,346639663104,112.56021,33.286575,NA,5.7576327,10.928675,10.823,57.258,0.05317,0.025980001,0.10323,0.51457,0.13736,0.18902999,0.356,0.603,0.612,32027000832,6054000128,3131000064,1.648e+10,6.408e+09,3245499904,7242999808,3870000128,2.308,1.176,6.366,1.91,6.45876,37.34,4.449,NA,NA,0,798940800,NA,NA,1628041540,1619054751,36052433,0.92,0.0222,0.00442,0.6975,214.99,215.04,215.415,216.83,213.03,267.08,76.48,229.1804,160.92764,15309423,54374690,27644220,1.927,282.82092,380,178,43,"buy",1.54902,"2025-12-27 20:41:09",259.649993896484,198.110000610352,-23.7011341162082,3.64523561756506,44978028.125,2.42211596509379,32,-2.57296581995839,2.17972570399164,0.287889064175122,3.80677320404177,"STRONG_UNDERPERFORMER","DOWN_WHILE_MARKET_UP"
